output_id,run_id,label_id,excerpt_id,contract_id,field_name,ai_answer,ai_source_text,confidence,match_status,score,error_type,severity,source_match_status,missed_nuance,over_extracted,escalation_required,suggested_instruction_fix
O0013,R001,L007,E007,C007,late_payment_interest,Approx: 1.0% per month or lawful maximum,"Overdue amounts accrue interest at 1.0% per month or maximum lawful rate, whichever is lower. If com",0.95,ambiguous,0.5,Scope error,high,unsupported,true,true,false,Add explicit instruction to capture exceptions and party scoping.
O0014,R002,L007,E007,C007,late_payment_interest,Approx: 1.0% per month or lawful maximum,"Overdue amounts accrue interest at 1.0% per month or maximum lawful rate, whichever is lower. If com",0.79,not_assessable,0.0,Party error,high,partially_supported,false,false,false,Add explicit instruction to capture exceptions and party scoping.
O0015,R001,L008,E008,C008,indemnity,See clause text,Vendor will indemnify Customer against third-party IP infringement claims arising from the Services.,0.77,correct,1.0,,low,supported,false,false,false,
O0016,R002,L008,E008,C008,indemnity,Approx: See clause text,Vendor will indemnify Customer against third-party IP infringement claims arising from the Services.,0.88,mostly_correct,0.75,,low,supported,false,false,false,
O0017,R001,L009,E009,C009,assignment_change_of_control,Approx: See clause text,"Neither party may assign without consent, except in connection with a merger or change of control.",0.94,partial,0.5,Exception error,medium,supported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0018,R002,L009,E009,C009,assignment_change_of_control,Approx: See clause text,"Neither party may assign without consent, except in connection with a merger or change of control.",0.62,incorrect,0.0,Cross-reference error,medium,unsupported,true,true,false,Add explicit instruction to capture exceptions and party scoping.
O0019,R001,L010,E010,C001,audit_rights,Approx: See clause text,Customer may audit Vendor security controls once per year with 10 business days notice.,0.48,not_present,0.0,Source support error,high,partially_supported,false,false,false,Add explicit instruction to capture exceptions and party scoping.
O0020,R002,L010,E010,C001,audit_rights,Approx: See clause text,Customer may audit Vendor security controls once per year with 10 business days notice.,0.94,ambiguous,0.5,Ambiguity escalation,medium,partially_supported,true,false,true,Add explicit instruction to capture exceptions and party scoping.
O0021,R001,L011,E011,C002,subcontracting_rights,Approx: See clause text,Provider may use subcontractors but remains fully responsible for their performance. If commercially,0.7,not_assessable,0.0,False positive,high,partially_supported,false,true,false,Add explicit instruction to capture exceptions and party scoping.
O0022,R002,L011,E011,C002,subcontracting_rights,See clause text,Provider may use subcontractors but remains fully responsible for their performance. If commercially,0.55,correct,1.0,,low,supported,false,false,false,
O0023,R001,L012,E012,C003,termination_for_cause,Approx: 15-day cure period,Either party may terminate for material breach not cured within 15 days after notice.,0.88,mostly_correct,0.75,,low,supported,false,false,false,
O0024,R002,L012,E012,C003,termination_for_cause,Approx: 15-day cure period,Either party may terminate for material breach not cured within 15 days after notice.,0.65,partial,0.5,Party error,medium,supported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0025,R001,L013,E013,C004,data_security_obligation,Approx: See clause text,Processor shall maintain appropriate technical and organizational security measures under Appendix 2,0.72,incorrect,0.0,Time-period error,medium,unsupported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0026,R002,L013,E013,C004,data_security_obligation,Approx: See clause text,Processor shall maintain appropriate technical and organizational security measures under Appendix 2,0.77,not_present,0.0,Monetary error,high,unsupported,false,false,true,Add explicit instruction to capture exceptions and party scoping.
O0027,R001,L014,E014,C005,renewal_type,Approx: month-to-month with annual option,Renewal is month-to-month unless either party opts for annual renewal in writing. See Section 14.2 f,0.84,ambiguous,0.5,Exception error,medium,unsupported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0028,R002,L014,E014,C005,renewal_type,Approx: month-to-month with annual option,Renewal is month-to-month unless either party opts for annual renewal in writing. See Section 14.2 f,0.76,not_assessable,0.0,Cross-reference error,medium,unsupported,false,true,false,Add explicit instruction to capture exceptions and party scoping.
O0029,R001,L015,E015,C006,liability_cap_amount,"USD 250,000","Liability cap equals USD 250,000, except for excluded liabilities. If commercially reasonable, parti",0.97,correct,1.0,,low,supported,false,false,false,
O0030,R002,L015,E015,C006,liability_cap_amount,"Approx: USD 250,000","Liability cap equals USD 250,000, except for excluded liabilities. If commercially reasonable, parti",0.55,mostly_correct,0.75,,low,supported,false,false,false,
O0031,R001,L016,E016,C007,exclusions_from_liability_cap,"Approx: fraud, willful misconduct, unpaid fees","The liability cap does not apply to fraud, willful misconduct, or unpaid fees.",0.74,partial,0.5,False positive,high,supported,true,true,false,Add explicit instruction to capture exceptions and party scoping.
O0032,R002,L016,E016,C007,exclusions_from_liability_cap,"Approx: fraud, willful misconduct, unpaid fees","The liability cap does not apply to fraud, willful misconduct, or unpaid fees.",0.84,incorrect,0.0,False negative,medium,unsupported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0033,R001,L017,E017,C008,termination_for_convenience,Approx: After first 90 days,Customer may terminate for convenience after the first 90 days of the term.,0.89,not_present,0.0,Scope error,high,partially_supported,false,true,false,Add explicit instruction to capture exceptions and party scoping.
O0034,R002,L017,E017,C008,termination_for_convenience,Approx: After first 90 days,Customer may terminate for convenience after the first 90 days of the term.,0.75,ambiguous,0.5,Party error,high,unsupported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0035,R001,L018,E018,C009,contract_term,Approx: 24 months,Term begins on Effective Date and continues for 24 months.,0.73,not_assessable,0.0,Time-period error,high,unsupported,false,false,false,Add explicit instruction to capture exceptions and party scoping.
O0036,R002,L018,E018,C009,contract_term,24 months,Term begins on Effective Date and continues for 24 months.,0.46,correct,1.0,,low,supported,false,false,false,
O0037,R001,L019,E019,C001,most_favoured_customer,Approx: See clause text,Supplier grants pricing no less favorable than similarly situated customers. If commercially reasona,0.48,mostly_correct,0.75,,low,supported,false,false,false,
O0038,R002,L019,E019,C001,most_favoured_customer,Approx: See clause text,Supplier grants pricing no less favorable than similarly situated customers. If commercially reasona,0.8,partial,0.5,Cross-reference error,high,supported,true,true,false,Add explicit instruction to capture exceptions and party scoping.
O0039,R001,L020,E020,C002,non_solicit,Approx: See clause text,"During the term and for 12 months after, neither party will solicit the other party's employees. See",0.86,incorrect,0.0,Source support error,medium,partially_supported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0040,R002,L020,E020,C002,non_solicit,Approx: See clause text,"During the term and for 12 months after, neither party will solicit the other party's employees. See",0.88,not_present,0.0,Ambiguity escalation,high,partially_supported,false,false,true,Add explicit instruction to capture exceptions and party scoping.
O0041,R001,L021,E021,C003,governing_law,Approx: Delaware,"This Agreement is governed by the laws of Delaware, excluding conflict-of-law rules.",0.76,ambiguous,0.5,False positive,medium,partially_supported,true,true,false,Add explicit instruction to capture exceptions and party scoping.
O0042,R002,L021,E021,C003,governing_law,Approx: Delaware,"This Agreement is governed by the laws of Delaware, excluding conflict-of-law rules.",0.61,not_assessable,0.0,False negative,high,unsupported,false,false,false,Add explicit instruction to capture exceptions and party scoping.
O0043,R001,L022,E022,C004,notice_period,30 days,Either party may terminate for convenience upon 30 days written notice.,0.87,correct,1.0,,low,supported,false,false,false,
O0044,R002,L022,E022,C004,notice_period,Approx: 30 days,Either party may terminate for convenience upon 30 days written notice.,0.79,mostly_correct,0.75,,low,supported,false,false,false,
O0045,R001,L023,E023,C005,limitation_of_liability,Approx: See clause text,"Except for excluded claims, aggregate liability will not exceed fees paid in the prior 12 months. If",0.44,partial,0.5,Time-period error,medium,supported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0046,R002,L023,E023,C005,limitation_of_liability,Approx: See clause text,"Except for excluded claims, aggregate liability will not exceed fees paid in the prior 12 months. If",0.72,incorrect,0.0,Monetary error,high,unsupported,true,false,true,Add explicit instruction to capture exceptions and party scoping.
O0047,R001,L024,E024,C006,confidentiality_survival_period,Approx: 3 years,Confidentiality obligations survive for three years after termination.,0.96,not_present,0.0,Exception error,high,partially_supported,false,false,false,Add explicit instruction to capture exceptions and party scoping.
O0048,R002,L024,E024,C006,confidentiality_survival_period,Approx: 3 years,Confidentiality obligations survive for three years after termination.,0.65,ambiguous,0.5,Cross-reference error,high,unsupported,true,true,false,Add explicit instruction to capture exceptions and party scoping.
O0049,R001,L025,E025,C007,auto_renewal,Approx: 1-year auto-renewal unless 60-day notice,The initial term is one year and renews automatically for successive one-year terms unless notice is,0.9,not_assessable,0.0,Source support error,high,unsupported,false,false,false,Add explicit instruction to capture exceptions and party scoping.
O0050,R002,L025,E025,C007,auto_renewal,1-year auto-renewal unless 60-day notice,The initial term is one year and renews automatically for successive one-year terms unless notice is,0.56,correct,1.0,,low,supported,false,false,false,
O0051,R001,L026,E026,C008,payment_terms,Approx: Net 30,Invoices are due net 30 from receipt of undisputed invoice. See Section 14.2 for additional exceptio,0.85,mostly_correct,0.75,,low,supported,false,false,false,
O0052,R002,L026,E026,C008,payment_terms,Approx: Net 30,Invoices are due net 30 from receipt of undisputed invoice. See Section 14.2 for additional exceptio,0.97,partial,0.5,False negative,high,supported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0053,R001,L027,E027,C009,late_payment_interest,Approx: 1.0% per month or lawful maximum,"Overdue amounts accrue interest at 1.0% per month or maximum lawful rate, whichever is lower. If com",0.58,incorrect,0.0,Scope error,medium,unsupported,true,true,false,Add explicit instruction to capture exceptions and party scoping.
O0054,R002,L027,E027,C009,late_payment_interest,Approx: 1.0% per month or lawful maximum,"Overdue amounts accrue interest at 1.0% per month or maximum lawful rate, whichever is lower. If com",0.86,not_present,0.0,Party error,medium,partially_supported,false,false,false,Add explicit instruction to capture exceptions and party scoping.
O0055,R001,L028,E028,C001,indemnity,Approx: See clause text,Vendor will indemnify Customer against third-party IP infringement claims arising from the Services.,0.57,ambiguous,0.5,Time-period error,medium,unsupported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0056,R002,L028,E028,C001,indemnity,Approx: See clause text,Vendor will indemnify Customer against third-party IP infringement claims arising from the Services.,0.47,not_assessable,0.0,Monetary error,medium,partially_supported,false,false,true,Add explicit instruction to capture exceptions and party scoping.
O0057,R001,L029,E029,C002,assignment_change_of_control,See clause text,"Neither party may assign without consent, except in connection with a merger or change of control.",0.42,correct,1.0,,low,supported,false,false,false,
O0058,R002,L029,E029,C002,assignment_change_of_control,Approx: See clause text,"Neither party may assign without consent, except in connection with a merger or change of control.",0.94,mostly_correct,0.75,,low,supported,false,false,false,
O0059,R001,L030,E030,C003,audit_rights,Approx: See clause text,Customer may audit Vendor security controls once per year with 10 business days notice.,0.47,partial,0.5,Source support error,high,supported,true,false,false,Add explicit instruction to capture exceptions and party scoping.
O0060,R002,L030,E030,C003,audit_rights,Approx: See clause text,Customer may audit Vendor security controls once per year with 10 business days notice.,0.54,incorrect,0.0,Ambiguity escalation,medium,partially_supported,true,false,true,Add explicit instruction to capture exceptions and party scoping.
